,Latitude,Longitude,1989_Primavera
0,70.0,-25.0,-12.83
1,70.0,-24.5,-11.07
2,70.0,-24.0,-10.17
3,70.0,-23.5,-8.57
4,70.0,-23.0,-9.07
5,70.0,-22.5,-8.7
6,70.0,-22.0,-999.99
7,70.0,-21.5,-999.99
8,70.0,-21.0,-999.99
9,70.0,-20.5,-999.99
10,70.0,-20.0,-999.99
11,70.0,-19.5,-999.99
12,70.0,-19.0,-999.99
13,70.0,-18.5,-999.99
14,70.0,-18.0,-999.99
15,70.0,-17.5,-999.99
16,70.0,-17.0,-999.99
17,70.0,-16.5,-999.99
18,70.0,-16.0,-999.99
19,70.0,-15.5,-999.99
20,70.0,-15.0,-999.99
21,70.0,-14.5,-999.99
22,70.0,-14.0,-999.99
23,70.0,-13.5,-999.99
24,70.0,-13.0,-999.99
25,70.0,-12.5,-999.99
26,70.0,-12.0,-999.99
27,70.0,-11.5,-999.99
28,70.0,-11.0,-999.99
29,70.0,-10.5,-999.99
30,70.0,-10.0,-999.99
31,70.0,-9.5,-999.99
32,70.0,-9.0,-999.99
33,70.0,-8.5,-999.99
34,70.0,-8.0,-999.99
35,70.0,-7.5,-999.99
36,70.0,-7.0,-999.99
37,70.0,-6.5,-999.99
38,70.0,-6.0,-999.99
39,70.0,-5.5,-999.99
40,70.0,-5.0,-999.99
41,70.0,-4.5,-999.99
42,70.0,-4.0,-999.99
43,70.0,-3.5,-999.99
44,70.0,-3.0,-999.99
45,70.0,-2.5,-999.99
46,70.0,-2.0,-999.99
47,70.0,-1.5,-999.99
48,70.0,-1.0,-999.99
49,70.0,-0.5,-999.99
50,70.0,0.0,-999.99
51,70.0,0.5,-999.99
52,70.0,1.0,-999.99
53,70.0,1.5,-999.99
54,70.0,2.0,-999.99
55,70.0,2.5,-999.99
56,70.0,3.0,-999.99
57,70.0,3.5,-999.99
58,70.0,4.0,-999.99
59,70.0,4.5,-999.99
60,70.0,5.0,-999.99
61,70.0,5.5,-999.99
62,70.0,6.0,-999.99
63,70.0,6.5,-999.99
64,70.0,7.0,-999.99
65,70.0,7.5,-999.99
66,70.0,8.0,-999.99
67,70.0,8.5,-999.99
68,70.0,9.0,-999.99
69,70.0,9.5,-999.99
70,70.0,10.0,-999.99
