"","longitude","latitude","temp","data_type"
"1",-9.5,43.5,13.2,"Train"
"2",-9,43.5,12.87,"Train"
"3",-8.5,43.5,12.43,"Train"
"4",-8,43.5,10.23,"Train"
"5",-7.5,43.5,10.27,"Train"
"6",-7,43.5,9.73,"Train"
"7",-6.5,43.5,8.83,"Test"
"8",-6,43.5,9.2,"Test"
"9",-5.5,43.5,9.1,"Train"
"10",-5,43.5,8.5,"Train"
"11",-4.5,43.5,10.63,"Test"
"12",-4,43.5,11.13,"Train"
"13",-3.5,43.5,11.53,"Train"
"14",-3,43.5,11.77,"Train"
"15",-2.5,43.5,12.63,"Train"
"16",-2,43.5,11.57,"Train"
"17",-9.5,43,13.7,"Test"
"18",-9,43,12.87,"Test"
"19",-8.5,43,11.47,"Test"
"20",-8,43,10.6,"Train"
"21",-7.5,43,10.2,"Test"
"22",-7,43,8.7,"Test"
"23",-6.5,43,7.23,"Test"
"24",-6,43,8.37,"Train"
"25",-5.5,43,8.77,"Train"
"26",-5,43,8.2,"Train"
"27",-4.5,43,9.27,"Train"
"28",-4,43,9,"Train"
"29",-3.5,43,9.47,"Train"
"30",-3,43,9.97,"Test"
"31",-2.5,43,9.33,"Train"
"32",-2,43,10.97,"Train"
"33",-9,42.5,13.4,"Train"
"34",-8.5,42.5,11.6,"Train"
"35",-8,42.5,11.13,"Train"
"36",-7.5,42.5,9.2,"Train"
"37",-7,42.5,7.3,"Train"
"38",-6.5,42.5,9,"Train"
"39",-6,42.5,11.57,"Test"
"40",-5.5,42.5,11.5,"Train"
"41",-5,42.5,10.6,"Train"
"42",-4.5,42.5,11.4,"Train"
"43",-4,42.5,10.37,"Train"
"44",-3.5,42.5,8.67,"Test"
"45",-3,42.5,8.27,"Test"
"46",-2.5,42.5,10.03,"Test"
"47",-2,42.5,13.6,"Train"
"48",-1.5,42.5,13.17,"Test"
"49",-1,42.5,11.27,"Train"
"50",-0.5,42.5,10.23,"Test"
"51",0,42.5,11.6,"Test"
"52",0.5,42.5,9.43,"Test"
"53",1,42.5,8.37,"Test"
"54",1.5,42.5,7.57,"Train"
"55",2,42.5,7.03,"Train"
"56",2.5,42.5,12.27,"Train"
"57",3,42.5,13.77,"Train"
"58",-9,42,13.53,"Train"
"59",-8.5,42,10.7,"Test"
"60",-8,42,10,"Train"
"61",-7.5,42,11.37,"Train"
"62",-7,42,11.5,"Train"
"63",-6.5,42,11.93,"Train"
"64",-6,42,11.37,"Test"
"65",-5.5,42,11.07,"Train"
"66",-5,42,11,"Train"
"67",-4.5,42,10.67,"Test"
"68",-4,42,10.6,"Train"
"69",-3.5,42,10.53,"Train"
"70",-3,42,10.2,"Test"
"71",-2.5,42,9.97,"Train"
"72",-2,42,10.77,"Train"
"73",-1.5,42,13.73,"Train"
"74",-1,42,13.8,"Train"
"75",-0.5,42,14.4,"Train"
"76",0,42,14.43,"Train"
"77",0.5,42,13.73,"Test"
"78",1,42,12,"Test"
"79",1.5,42,11.43,"Test"
"80",2,42,11.73,"Train"
"81",2.5,42,13.17,"Train"
"82",3,42,14.2,"Train"
"83",-7.5,41.5,11.5,"Train"
"84",-7,41.5,12.57,"Train"
"85",-6.5,41.5,12,"Train"
"86",-6,41.5,11.33,"Train"
"87",-5.5,41.5,11.57,"Train"
"88",-5,41.5,11.6,"Test"
"89",-4.5,41.5,11.5,"Train"
"90",-4,41.5,9.87,"Train"
"91",-3.5,41.5,8.9,"Train"
"92",-3,41.5,10.4,"Train"
"93",-2.5,41.5,10.03,"Test"
"94",-2,41.5,10.1,"Train"
"95",-1.5,41.5,10.83,"Train"
"96",-1,41.5,12.7,"Train"
"97",-0.5,41.5,14.4,"Train"
"98",0,41.5,14.5,"Test"
"99",0.5,41.5,13.9,"Train"
"100",1,41.5,13.53,"Train"
"101",1.5,41.5,13.47,"Train"
"102",2,41.5,14.17,"Train"
"103",-7.5,41,12.73,"Train"
"104",-7,41,12.2,"Train"
"105",-6.5,41,12.07,"Test"
"106",-6,41,11.3,"Test"
"107",-5.5,41,10.47,"Train"
"108",-5,41,10.33,"Train"
"109",-4.5,41,9.6,"Train"
"110",-4,41,10.27,"Train"
"111",-3.5,41,12.37,"Train"
"112",-3,41,11.33,"Train"
"113",-2.5,41,9.93,"Train"
"114",-2,41,9.07,"Train"
"115",-1.5,41,9.57,"Train"
"116",-1,41,9.4,"Train"
"117",-0.5,41,10.6,"Test"
"118",0,41,13.57,"Train"
"119",0.5,41,15.3,"Train"
"120",-7.5,40.5,12.63,"Train"
"121",-7,40.5,12.9,"Train"
"122",-6.5,40.5,12.57,"Train"
"123",-6,40.5,10.13,"Test"
