"","longitude","latitude","temp"
"49",-1,42.5,11.27
"229",-6.5,36.5,16.3
"65",-5.5,42,11.07
"153",-6,39.5,14.43
"74",-1,42,13.8
"228",-2,37,16.43
"146",-2,40,11.23
"122",-6.5,40.5,12.57
"233",-5.5,36,15.67
"128",-3.5,40.5,13.43
"47",-2,42.5,13.6
"24",-6,43,8.37
"71",-2.5,42,9.97
"100",1,41.5,13.53
"89",-4.5,41.5,11.5
"165",-7.5,39,15.27
"110",-4,41,10.27
"20",-8,43,10.6
"154",-5.5,39.5,14.23
"114",-2,41,9.07
"111",-3.5,41,12.37
"131",-2,40.5,8.53
"41",-5,42.5,10.6
"219",-6.5,37,16.73
"27",-4.5,43,9.27
"164",-0.5,39.5,16.2
"109",-4.5,41,9.6
"5",-7.5,43.5,10.27
"162",-1.5,39.5,12.4
"92",-3,41.5,10.4
"104",-7,41,12.2
"3",-8.5,43.5,12.43
"58",-9,42,13.53
"42",-4.5,42.5,11.4
"222",-5,37,15.17
"158",-3.5,39.5,13.8
"43",-4,42.5,10.37
"143",-3.5,40,13.5
"150",-7.5,39.5,14.23
"201",-4.5,38,15.37
"136",-7,40,14.83
"36",-7.5,42.5,9.2
"68",-4,42,10.6
"227",-2.5,37,16.23
"207",-7.5,37.5,16.27
"204",-3,38,12.13
"4",-8,43.5,10.23
"178",-1,39,13.53
"99",0.5,41.5,13.9
"177",-1.5,39,12.4
"215",-3.5,37.5,10.03
"214",-4,37.5,13.4
"6",-7,43.5,9.73
"134",-0.5,40.5,10.93
"130",-2.5,40.5,10.83
"116",-1,41,9.4
"202",-4,38,13.93
"118",0,41,13.57
"149",-0.5,40,15.37
"2",-9,43.5,12.87
"102",2,41.5,14.17
"138",-6,40,14.47
"40",-5.5,42.5,11.5
"206",-2,38,13.73
"33",-9,42.5,13.4
"103",-7.5,41,12.73
"189",-3,38.5,12.23
"73",-1.5,42,13.73
"157",-4,39.5,13.1
"76",0,42,14.43
"9",-5.5,43.5,9.1
"35",-8,42.5,11.13
"16",-2,43.5,11.57
"101",1.5,41.5,13.47
"69",-3.5,42,10.53
"176",-2,39,12.73
"179",-0.5,39,14.43
"82",3,42,14.2
"152",-6.5,39.5,14.53
"113",-2.5,41,9.93
"190",-2.5,38.5,11.6
"159",-3,39.5,13.3
"217",-2.5,37.5,13.33
"203",-3.5,38,13.63
"171",-4.5,39,13.27
"57",3,42.5,13.77
"220",-6,37,15.87
"200",-5,38,15.73
"91",-3.5,41.5,8.9
"13",-3.5,43.5,11.53
"54",1.5,42.5,7.57
"83",-7.5,41.5,11.5
"32",-2,43,10.97
"60",-8,42,10
"29",-3.5,43,9.47
"81",2.5,42,13.17
"108",-5,41,10.33
"121",-7,40.5,12.9
"85",-6.5,41.5,12
"126",-4.5,40.5,13.5
"112",-3,41,11.33
"72",-2,42,10.77
"139",-5.5,40,14.33
"1",-9.5,43.5,13.2
"55",2,42.5,7.03
"161",-2,39.5,12.8
"90",-4,41.5,9.87
"197",-6.5,38,14.93
"230",-6,36.5,15.7
"125",-5,40.5,10.67
"120",-7.5,40.5,12.63
"97",-0.5,41.5,14.4
"148",-1,40,12.9
"212",-5,37.5,15.03
"25",-5.5,43,8.77
"115",-1.5,41,9.57
"63",-6.5,42,11.93
"141",-4.5,40,13.47
"172",-4,39,13.3
"151",-7,39.5,14.93
"14",-3,43.5,11.77
"213",-4.5,37.5,13.7
"181",-7,38.5,14.17
"223",-4.5,37,15.1
"180",-7.5,38.5,15.3
"62",-7,42,11.5
"37",-7,42.5,7.3
"80",2,42,11.73
"31",-2.5,43,9.33
"34",-8.5,42.5,11.6
"94",-2,41.5,10.1
"96",-1,41.5,12.7
"133",-1,40.5,8.43
"86",-6,41.5,11.33
"38",-6.5,42.5,9
"95",-1.5,41.5,10.83
"160",-2.5,39.5,12.87
"84",-7,41.5,12.57
"15",-2.5,43.5,12.63
"195",-7.5,38,15.23
"124",-5.5,40.5,10.07
"87",-5.5,41.5,11.57
"140",-5,40,13.2
"12",-4,43.5,11.13
"26",-5,43,8.2
"211",-5.5,37.5,15.67
"231",-5.5,36.5,16.03
"66",-5,42,11
"56",2.5,42.5,12.27
"199",-5.5,38,15.83
"119",0.5,41,15.3
"61",-7.5,42,11.37
"137",-6.5,40,14.7
"183",-6,38.5,14.47
"168",-6,39,14.53
"147",-1.5,40,11.2
"186",-4.5,38.5,14
"209",-6.5,37.5,16.6
"10",-5,43.5,8.5
"193",-1,38.5,16.13
"28",-4,43,9
"107",-5.5,41,10.47
"75",-0.5,42,14.4
